"congener","Sampling_Rate","R2","p_value","group"
"PCB135.151",1.28,0.964,0.0121,"ParticipantY.w"
"PCB136",0.834,0.966,0.0115,"ParticipantY.w"
"PCB137",1.62,0.991,0.00309,"ParticipantY.w"
"PCB139.140",1.08,0.889,0.0377,"ParticipantY.w"
"PCB141",1.73,0.947,0.0178,"ParticipantY.w"
"PCB142",0,0,0,"ParticipantY.w"
"PCB143",0,0,0,"ParticipantY.w"
"PCB144",1.24,0.967,0.011,"ParticipantY.w"
"PCB145",0.411,0.752,0.0862,"ParticipantY.w"
"PCB146",1.52,0.948,0.0173,"ParticipantY.w"
"PCB147.149",1.35,0.958,0.0139,"ParticipantY.w"
"PCB148",0.532,0.12,0.357,"ParticipantY.w"
"PCB150",0.473,0.181,0.326,"ParticipantY.w"
"PCB152",0.644,0.911,0.03,"ParticipantY.w"
"PCB153.168",1.62,0.958,0.0141,"ParticipantY.w"
"PCB154",0.964,0.924,0.0258,"ParticipantY.w"
"PCB155",0,0,0,"ParticipantY.w"
"PCB156.157",2.59,0.949,0.0172,"ParticipantY.w"
"PCB158",2.04,0.965,0.0117,"ParticipantY.w"
"PCB159",0,0,0,"ParticipantY.w"
"PCB160",0,0,0,"ParticipantY.w"
"PCB161",0,0,0,"ParticipantY.w"
"PCB162",0,0,0,"ParticipantY.w"
"PCB164",1.83,0.927,0.0248,"ParticipantY.w"
"PCB165",0,0,0,"ParticipantY.w"
"PCB167",2.26,0.952,0.0162,"ParticipantY.w"
"PCB169",0,0,0,"ParticipantY.w"
"PCB170",6.04,0.934,0.0223,"ParticipantY.w"
"PCB171.173",2.66,0.951,0.0166,"ParticipantY.w"
"PCB172",0,0,0,"ParticipantY.w"
"PCB174",2.96,0.965,0.0117,"ParticipantY.w"
"PCB175",0,0,0,"ParticipantY.w"
"PCB176",2.04,0.927,0.0248,"ParticipantY.w"
"PCB177",2.46,0.813,0.0642,"ParticipantY.w"
"PCB178",2.45,0.907,0.0313,"ParticipantY.w"
"PCB179",1.65,0.957,0.0143,"ParticipantY.w"
"PCB180.193",2.9,0.976,0.00812,"ParticipantY.w"
"PCB181",0.476,-0.416,0.764,"ParticipantY.w"
"PCB182",0.735,-0.432,0.787,"ParticipantY.w"
"PCB183",2.41,0.986,0.00466,"ParticipantY.w"
"PCB184",0,0,0,"ParticipantY.w"
"PCB185",0,0,0,"ParticipantY.w"
"PCB186",0,0,0,"ParticipantY.w"
"PCB187",2.36,0.964,0.012,"ParticipantY.w"
"PCB188",0,0,0,"ParticipantY.w"
"PCB189",4.11,0.84,0.0547,"ParticipantY.w"
"PCB190",3.64,0.936,0.0215,"ParticipantY.w"
"PCB191",0,0,0,"ParticipantY.w"
"PCB192",0,0,0,"ParticipantY.w"
"PCB194",0,0,0,"ParticipantY.w"
"PCB195",0,0,0,"ParticipantY.w"
"PCB196",2.23,0.79,0.0726,"ParticipantY.w"
"PCB197",0.701,0.854,0.0499,"ParticipantY.w"
"PCB198.199",0,0,0,"ParticipantY.w"
"PCB200",0,0,0,"ParticipantY.w"
"PCB201",0,0,0,"ParticipantY.w"
"PCB202",0,0,0,"ParticipantY.w"
"PCB203",4.48,0.821,0.0617,"ParticipantY.w"
"PCB205",0,0,0,"ParticipantY.w"
"PCB206",1.94,0.975,0.00836,"ParticipantY.w"
"PCB207",1.59,0.856,0.0491,"ParticipantY.w"
"PCB208",2.79,0.784,0.0749,"ParticipantY.w"
"PCB209",0,0,0,"ParticipantY.w"
