"congener","Average_Sampling_Rate","SD_Sampling_Rate","CV_Sampling_Rate"
"PCB1",0.511166666666667,0.193162539501495,37.7885633194969
"PCB2",0.574714285714286,0.17874722775073,31.1019287659734
"PCB3",0.549428571428571,0.161324576700573,29.3622474494023
"PCB4",0.4648,0.149032546780896,32.0638009425336
"PCB5",0.5732,0.208713200349187,36.4119330685951
"PCB6",0.612,0.173820309515315,28.4020113587116
"PCB7",0.5994,0.151552961040027,25.2841109509555
"PCB8",0.6276,0.186682350531591,29.745435075142
"PCB9",0.568,0.161091588855533,28.3611952210445
"PCB10",0.4688,0.163843522911344,34.9495569350136
"PCB11",1.00371428571429,0.341833153397831,34.0568185850386
"PCB12.13",0.74,0.236218119542088,31.9213675056875
"PCB14",1.62,0.533572862878164,32.9365964739607
"PCB15",0.924333333333333,0.320522490110549,34.6760717753929
"PCB16",1.0515,0.42959038629839,40.8550058296139
"PCB17",0.9926,0.426777225259268,42.9958921276716
"PCB18.30",0.918833333333333,0.321836242003082,35.0266180304461
"PCB19",0.711166666666667,0.204263963211005,28.7223758909311
"PCB20.28",1.59433333333333,0.814601415826579,51.0935447936386
"PCB21.33",1.51266666666667,0.725222080928778,47.9432843275966
"PCB22",1.52533333333333,0.730070316248145,47.8630015022822
"PCB23",4.0296,3.86959310522437,96.0292114657627
"PCB24",0.8624,0.330222349334505,38.2910887447246
"PCB25",1.0365,0.50033622028925,48.2717048035939
"PCB26.29",1.01216666666667,0.38105454552684,37.6474110515567
"PCB27",1.0905,0.473004756847117,43.3750350157833
"PCB31",1.275,0.536834797679882,42.1046900141084
"PCB32",1.17516666666667,0.497976873626343,42.3749998831096
"PCB34",0.976666666666667,0.39102088605768,40.0362681970321
"PCB35",1.288,0.764662888685814,59.3682366992091
"PCB36",1.01666666666667,0.268576494379782,26.4173601029294
"PCB37",1.74383333333333,0.796331693873016,45.6655850448064
"PCB38",0.966666666666667,0.483096953692182,49.975546933674
"PCB39",1.2104,0.673236436922423,55.6209878488453
"PCB40.71",1.14866666666667,0.543812345084834,47.3429203498114
"PCB41",1.66083333333333,0.814852236093555,49.0628541551564
"PCB42",1.16,0.493477456425316,42.5411600366652
"PCB43",1.1484,0.453522656545403,39.4916977138108
"PCB44.47.65",0.972666666666667,0.494156925142881,50.804344600022
"PCB45",1.0544,0.441890031568941,41.9091456343837
"PCB46",1.0385,0.411684223647203,39.6421977512954
"PCB48",1.15166666666667,0.447455770626178,38.8528889111008
"PCB49.69",0.955833333333333,0.464700082490488,48.6172710539308
"PCB50.53",0.8745,0.36772149787577,42.04934223851
"PCB51",1.05433333333333,0.179878662807275,17.0608911925964
"PCB52",0.892666666666667,0.460084629896138,51.5404738494554
"PCB54",0.977,0.286405307213396,29.314770441494
"PCB55",1.439,1.05209932991139,73.113226540055
"PCB56",1.45042857142857,0.844927582132113,58.2536499056909
"PCB57",1.27333333333333,0.915113836270293,71.8675787646827
"PCB59.62.75",1.0974,0.578163298731422,52.6848276591418
"PCB58",1.19075,0.719547716740639,60.4281097409732
"PCB60",1.60042857142857,0.789574538837818,49.335193893285
"PCB61.70.74.76",1.24285714285714,0.69428390652322,55.8619235133625
"PCB63",1.298,0.665994244219373,51.3092638073477
"PCB64",1.074,0.528315436079621,49.1913813854396
"PCB66",1.37871428571429,0.715982940738515,51.9312049028039
"PCB67",1.3215,0.819306007138562,61.9981844221386
"PCB68",2.04166666666667,1.00277531547866,49.1155256560978
"PCB72",1.23925,0.67905001043124,54.7952398976187
"PCB77",2.7412,1.9798578736869,72.2259548258754
"PCB79",1.4316,0.928513220153596,64.8584255485887
"PCB80",2.60966666666667,2.48817811527498,95.344671679971
"PCB82",1.55385714285714,1.08087656226654,69.5608709742191
"PCB83",0.844,0.087641314458422,10.3840419974434
"PCB84",1.13528571428571,0.688783883446207,60.6705320765503
"PCB85.116",1.50885714285714,1.05883748022244,70.1747998632559
"PCB86.97.109.119",1.34557142857143,0.965502780445307,71.754108324845
"PCB87.125",1.42214285714286,0.988752821921203,69.5255625660314
"PCB89",1.42485714285714,0.684828549972285,48.0629621997794
"PCB90.101.113",1.24485714285714,0.817336411475599,65.6570447593435
"PCB91",1.095,0.712264557590787,65.0469915608025
"PCB92",1.20442857142857,0.779600294412219,64.7278147418519
"PCB93.100",0.945765666666667,0.745869717224574,78.8641143903413
"PCB94",0.969857142857143,0.591078795810798,60.9449340208512
"PCB95",1.06983333333333,0.686045601011089,64.126399845249
"PCB96",0.895833333333333,0.525778819149903,58.6915891144078
"PCB99",1.27657142857143,0.821668192792942,64.3652344399126
"PCB102",1.027,0.646435766337229,62.9440863035276
"PCB103",1.009,0.621059095416853,61.5519420631173
"PCB104",2.79,1.53717272939641,55.0957967525594
"PCB105",2.29633333333333,2.05772123152449,89.6089954213017
"PCB107",1.95933333333333,1.71444996038574,87.5016992371082
"PCB108.124",1.85057142857143,1.38141556107529,74.6480540954687
"PCB110",1.50228571428571,1.0299671053462,68.5600013068032
"PCB111",3.21,1.81019335983756,56.3923165058431
"PCB114",1.91016666666667,1.62235389686303,84.9325833799685
"PCB117",1.3078,0.80195336522768,61.320795628359
"PCB118",1.92583333333333,1.62782805193505,84.5259049035942
"PCB120",2.40666666666667,1.35249152800797,56.1977089199987
"PCB122",2.19716666666667,1.90823902241482,86.8499896418791
"PCB123",1.956,1.58922874376221,81.2489132802764
NA,NA,NA,NA
"PCB127",4.261,3.52360795208548,82.6943898635408
"PCB128.166",3.52533333333333,3.5236723268015,99.9528837027656
