"congener","Sampling_Rate","R2","p_value","group"
"PCB121","0","0","0","ParticipantY.2nd.nd"
"PCB122","1.05","0.997","0.000919","ParticipantY.2nd.nd"
"PCB123","1.33","0.984","0.00533","ParticipantY.2nd.nd"
"PCB126","0","0","0","ParticipantY.2nd.nd"
"PCB127","0","0","0","ParticipantY.2nd.nd"
"PCB128.166","1.27","0.995","0.00169","ParticipantY.2nd.nd"
"PCB129.138.163","1.18","0.986","0.00458","ParticipantY.2nd.nd"
"PCB130","1.16","0.989","0.00377","ParticipantY.2nd.nd"
"PCB131","1.09","0.964","0.012","ParticipantY.2nd.nd"
"PCB132","1.13","0.974","0.00874","ParticipantY.2nd.nd"
"PCB133","0.984","0.986","0.00472","ParticipantY.2nd.nd"
"PCB134","1.07","0.975","0.00837","ParticipantY.2nd.nd"
"PCB135.151","0.993","0.968","0.0109","ParticipantY.2nd.nd"
"PCB136","0.959","0.963","0.0125","ParticipantY.2nd.nd"
"PCB137","1.13","0.98","0.00676","ParticipantY.2nd.nd"
"PCB139.140","1.07","0.951","0.0166","ParticipantY.2nd.nd"
"PCB141","1.15","0.976","0.00786","ParticipantY.2nd.nd"
"PCB142","0","0","0","ParticipantY.2nd.nd"
"PCB143","0","0","0","ParticipantY.2nd.nd"
"PCB144","1.02","0.978","0.00748","ParticipantY.2nd.nd"
"PCB145","0.927","0.897","0.035","ParticipantY.2nd.nd"
"PCB146","1.11","0.973","0.00906","ParticipantY.2nd.nd"
"PCB147.149","1.06","0.971","0.00987","ParticipantY.2nd.nd"
"PCB148","0.653","0.874","0.0428","ParticipantY.2nd.nd"
"PCB150","0.657","0.962","0.0127","ParticipantY.2nd.nd"
"PCB152","0.736","0.888","0.0379","ParticipantY.2nd.nd"
"PCB153.168","1.14","0.984","0.00549","ParticipantY.2nd.nd"
"PCB154","1.02","0.953","0.0159","ParticipantY.2nd.nd"
"PCB155","0","0","0","ParticipantY.2nd.nd"
"PCB156.157","1.29","0.982","0.00605","ParticipantY.2nd.nd"
"PCB158","1.15","0.987","0.00446","ParticipantY.2nd.nd"
"PCB159","0","0","0","ParticipantY.2nd.nd"
"PCB160","0","0","0","ParticipantY.2nd.nd"
"PCB161","0","0","0","ParticipantY.2nd.nd"
"PCB162","0","0","0","ParticipantY.2nd.nd"
"PCB164","1.21","0.975","0.00839","ParticipantY.2nd.nd"
"PCB165","0","0","0","ParticipantY.2nd.nd"
"PCB167","1.16","0.99","0.00324","ParticipantY.2nd.nd"
"PCB169","0","0","0","ParticipantY.2nd.nd"
"PCB170","1.22","0.987","0.00421","ParticipantY.2nd.nd"
"PCB171.173","1.4","0.999","0.000266","ParticipantY.2nd.nd"
"PCB172","0","0","0","ParticipantY.2nd.nd"
"PCB174","1.33","0.977","0.00757","ParticipantY.2nd.nd"
"PCB175","0.826","0.99","0.00322","ParticipantY.2nd.nd"
"PCB176","1.26","0.958","0.0141","ParticipantY.2nd.nd"
"PCB177","1.37","0.999","0.00038","ParticipantY.2nd.nd"
"PCB178","1.59","0.985","0.00509","ParticipantY.2nd.nd"
"PCB179","1.21","0.961","0.013","ParticipantY.2nd.nd"
"PCB180.193","1.42","0.973","0.00888","ParticipantY.2nd.nd"
"PCB181","0","0","0","ParticipantY.2nd.nd"
"PCB182","0","0","0","ParticipantY.2nd.nd"
"PCB183","1.2","0.987","0.00448","ParticipantY.2nd.nd"
"PCB184","0","0","0","ParticipantY.2nd.nd"
"PCB185","0","0","0","ParticipantY.2nd.nd"
"PCB186","0","0","0","ParticipantY.2nd.nd"
"PCB187","1.28","0.991","0.00284","ParticipantY.2nd.nd"
"PCB188","0","0","0","ParticipantY.2nd.nd"
"PCB189","0","0","0","ParticipantY.2nd.nd"
"PCB190","0","0","0","ParticipantY.2nd.nd"
"PCB191","0","0","0","ParticipantY.2nd.nd"
"PCB192","0","0","0","ParticipantY.2nd.nd"
"PCB194","1.44","0.419","0.217","ParticipantY.2nd.nd"
"PCB195","1.63","0.879","0.0411","ParticipantY.2nd.nd"
"PCB196","1.33","0.986","0.00477","ParticipantY.2nd.nd"
"PCB197","0","0","0","ParticipantY.2nd.nd"
"PCB198.199","1.3","0.84","0.0549","ParticipantY.2nd.nd"
"PCB200","0","0","0","ParticipantY.2nd.nd"
"PCB201","1.08","0.991","0.00298","ParticipantY.2nd.nd"
"PCB202","1.3","0.983","0.00554","ParticipantY.2nd.nd"
"PCB203","1.48","0.876","0.0421","ParticipantY.2nd.nd"
"PCB205","0","0","0","ParticipantY.2nd.nd"
"PCB206","0.914","0.93","0.0235","ParticipantY.2nd.nd"
"PCB207","0","0","0","ParticipantY.2nd.nd"
