"","congener","slope","R2","p-value"
"139","PCB174","0.0031","0.809","0.0241"
"140","PCB175","0","NaN","NaN"
"141","PCB176","0.0014","0.9908","0.000245"
"142","PCB177","0.0017","0.9834","0.000592"
"143","PCB178","0.0014","0.8495","0.0167"
"144","PCB179","0.0035","0.9753","0.00108"
"145","PCB180.193","0.0032","0.9639","0.00191"
"146","PCB181","-0.0022","-0.1506","0.54"
"147","PCB182","-0.0042","-0.1389","0.526"
"148","PCB183","0.0025","0.8891","0.0104"
"149","PCB184","-0.0044","-0.09388","0.477"
"150","PCB185","0","NaN","NaN"
"151","PCB186","-0.00048","-0.1723","0.567"
"152","PCB187","0.0033","0.8985","0.00913"
"153","PCB188","-0.0028","-0.1261","0.511"
"154","PCB189","0","NaN","NaN"
"155","PCB190","0","NaN","NaN"
"156","PCB191","0","NaN","NaN"
"157","PCB192","0","NaN","NaN"
"158","PCB194","0","NaN","NaN"
"159","PCB195","0","NaN","NaN"
"160","PCB196","-9.3e-05","-0.2183","0.631"
"161","PCB197","-9.3e-05","-0.1714","0.565"
"162","PCB198.199","0.00032","-0.1025","0.486"
"163","PCB200","-9.2e-05","-0.1714","0.565"
"164","PCB201","0.00014","-0.1032","0.487"
"165","PCB202","0.00023","-0.09085","0.474"
"166","PCB203","-0.00012","-0.2302","0.651"
"167","PCB205","0","NaN","NaN"
"168","PCB206","0","NaN","NaN"
"169","PCB207","0","NaN","NaN"
"170","PCB208","0","NaN","NaN"
"171","PCB209","-0.00026","-0.2063","0.613"
