"congener","Sampling_Rate","R2","p_value","group"
"PCB122",1.63,0.994,0.00194,"ParticipantY.nw.d"
"PCB123",1.23,0.977,0.00786,"ParticipantY.nw.d"
"PCB126",0,0,0,"ParticipantY.nw.d"
"PCB127",0,0,0,"ParticipantY.nw.d"
"PCB128.166",2.05,0.917,0.028,"ParticipantY.nw.d"
"PCB129.138.163",1.91,0.987,0.00439,"ParticipantY.nw.d"
"PCB130",1.69,0.987,0.00418,"ParticipantY.nw.d"
"PCB131",1.29,0.999,0.00024,"ParticipantY.nw.d"
"PCB132",1.55,0.987,0.00438,"ParticipantY.nw.d"
"PCB133",0,0,0,"ParticipantY.nw.d"
"PCB134",1.46,0.987,0.00446,"ParticipantY.nw.d"
"PCB135.151",1.28,0.985,0.00509,"ParticipantY.nw.d"
"PCB136",1.09,0.98,0.00658,"ParticipantY.nw.d"
"PCB137",1.57,1,6.15e-06,"ParticipantY.nw.d"
"PCB139.140",1.07,0.973,0.00913,"ParticipantY.nw.d"
"PCB141",1.72,0.982,0.00587,"ParticipantY.nw.d"
"PCB142",0,0,0,"ParticipantY.nw.d"
"PCB143",0,0,0,"ParticipantY.nw.d"
"PCB144",1.27,0.99,0.00335,"ParticipantY.nw.d"
"PCB145",0.577,0.932,0.023,"ParticipantY.nw.d"
"PCB146",1.55,0.983,0.00576,"ParticipantY.nw.d"
"PCB147.149",1.37,0.986,0.00462,"ParticipantY.nw.d"
"PCB148",0.579,0.534,0.17,"ParticipantY.nw.d"
"PCB150",0.534,0.447,0.206,"ParticipantY.nw.d"
"PCB152",0.754,0.986,0.00458,"ParticipantY.nw.d"
"PCB153.168",1.64,0.991,0.00302,"ParticipantY.nw.d"
"PCB154",0.941,0.983,0.00572,"ParticipantY.nw.d"
"PCB155",0,0,0,"ParticipantY.nw.d"
"PCB156.157",2.7,0.99,0.00343,"ParticipantY.nw.d"
"PCB158",2.03,0.987,0.00425,"ParticipantY.nw.d"
"PCB159",0,0,0,"ParticipantY.nw.d"
"PCB160",0,0,0,"ParticipantY.nw.d"
"PCB161",0,0,0,"ParticipantY.nw.d"
"PCB162",0,0,0,"ParticipantY.nw.d"
"PCB164",1.97,0.989,0.0038,"ParticipantY.nw.d"
"PCB165",0,0,0,"ParticipantY.nw.d"
"PCB167",2.18,0.981,0.0065,"ParticipantY.nw.d"
"PCB169",0,0,0,"ParticipantY.nw.d"
"PCB170",5.22,0.969,0.0103,"ParticipantY.nw.d"
"PCB171.173",2.94,0.987,0.00419,"ParticipantY.nw.d"
"PCB172",0,0,0,"ParticipantY.nw.d"
"PCB174",2.83,0.934,0.0222,"ParticipantY.nw.d"
"PCB175",0,0,0,"ParticipantY.nw.d"
"PCB176",1.92,0.981,0.00619,"ParticipantY.nw.d"
"PCB177",2.54,0.992,0.00264,"ParticipantY.nw.d"
"PCB178",2.13,0.957,0.0145,"ParticipantY.nw.d"
"PCB179",1.61,0.998,0.000598,"ParticipantY.nw.d"
"PCB180.193",2.71,0.923,0.0259,"ParticipantY.nw.d"
"PCB181",0.37,-0.22,0.568,"ParticipantY.nw.d"
"PCB182",0.417,-0.436,0.793,"ParticipantY.nw.d"
"PCB183",2.42,0.948,0.0176,"ParticipantY.nw.d"
"PCB184",0,0,0,"ParticipantY.nw.d"
"PCB185",0,0,0,"ParticipantY.nw.d"
"PCB186",0,0,0,"ParticipantY.nw.d"
"PCB187",2.12,0.936,0.0215,"ParticipantY.nw.d"
"PCB188",0,0,0,"ParticipantY.nw.d"
"PCB189",3.3,0.797,0.0701,"ParticipantY.nw.d"
"PCB190",3.76,0.807,0.0665,"ParticipantY.nw.d"
"PCB191",0,0,0,"ParticipantY.nw.d"
"PCB192",0,0,0,"ParticipantY.nw.d"
"PCB194",0,0,0,"ParticipantY.nw.d"
"PCB195",0,0,0,"ParticipantY.nw.d"
"PCB196",2.15,0.811,0.0653,"ParticipantY.nw.d"
"PCB197",1.37,0.79,0.0725,"ParticipantY.nw.d"
"PCB198.199",0,0,0,"ParticipantY.nw.d"
"PCB200",0,0,0,"ParticipantY.nw.d"
"PCB201",0,0,0,"ParticipantY.nw.d"
"PCB202",0,0,0,"ParticipantY.nw.d"
"PCB203",5.89,0.814,0.064,"ParticipantY.nw.d"
"PCB205",0,0,0,"ParticipantY.nw.d"
"PCB206",1.46,0.996,0.00131,"ParticipantY.nw.d"
"PCB207",0.88,0.896,0.0352,"ParticipantY.nw.d"
"PCB208",1.25,0.838,0.0557,"ParticipantY.nw.d"
"PCB209",0,0,0,"ParticipantY.nw.d"
