"","congener","Sampling Rate (m3/d)","R2","p-value"
"157","PCB192",NA,NA,NA
"158","PCB194",NA,NA,NA
"159","PCB195",NA,NA,NA
"160","PCB196",NA,NA,NA
"161","PCB197",NA,NA,NA
"162","PCB198.199",NA,NA,NA
"163","PCB200",NA,NA,NA
"164","PCB201",NA,NA,NA
"165","PCB202",NA,NA,NA
"166","PCB203",NA,NA,NA
"167","PCB205",NA,NA,NA
"168","PCB206",NA,NA,NA
"169","PCB207",NA,NA,NA
"170","PCB208",NA,NA,NA
"171","PCB209",NA,NA,NA
